0.00,0.00,0.00,0.00,0.30,0.00,0.08,0.00,0.00,0.03,0.00,0.03,0.00,0.00,0.02,0.00,0.08,0.01,0.00,0.02,0.00,0.09,0.00,0.00,0.02,-0.04,0.02,-0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1.00,0.00,0.00,0.01,0.15,0.00,0.44,0.01,0.00,0.16,0.00,0.18,0.00,0.00,0.08,0.00,0.57,0.03,0.00,0.15,0.00,0.42,0.01,0.00,0.15,-0.41,0.13,-0.00,0.00,0.09,0.01,0.01,0.00,0.01,0.01,0.26,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
0.00,0.00,0.01,0.00,0.30,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.02,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.02,0.04,0.00,1.00,0.04,0.02,0.23,0.00,0.23,0.01,0.00,0.10,0.00,0.21,0.06,0.02,0.09,0.00,1.00,0.04,0.02,0.22,-0.14,0.23,-0.00,-0.00,0.09,0.03,0.00,0.02,0.03,-0.01,0.71,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
1.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.67,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.02,0.08,0.00,0.36,0.03,0.02,0.13,0.00,0.40,0.01,0.00,0.17,0.00,0.22,0.04,0.01,0.08,0.00,0.38,0.03,0.02,0.14,-0.12,0.40,0.00,-0.00,0.12,0.02,0.00,0.03,0.03,-0.03,0.54,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1.00,0.00,0.00,0.00,0.15,0.00,0.31,0.02,0.01,0.10,0.00,0.17,0.01,0.00,0.06,0.00,0.22,0.03,0.00,0.08,0.00,0.32,0.02,0.01,0.10,-0.18,0.17,0.00,-0.00,0.07,0.01,0.01,0.00,0.01,0.01,0.06,0.18,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.01,0.23,0.00,0.13,0.03,0.03,0.09,0.00,0.08,0.01,0.01,0.07,0.00,0.16,0.06,0.01,0.08,0.00,0.13,0.03,0.03,0.08,-0.12,0.08,-0.00,-0.00,0.07,0.07,0.00,0.04,0.06,-0.02,0.90,0.00,0.02,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.01,0.00,0.02,0.00,0.05,0.00,0.00,0.02,0.00,0.03,0.01,0.00,0.02,0.00,0.04,0.01,0.00,0.02,-0.02,0.05,0.00,0.00,0.02,0.00,0.00,0.01,0.00,-0.00,0.61,0.01,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1.00,0.01,0.66,0.06,0.08,0.00,0.66,0.08,0.05,0.27,0.00,0.62,0.03,0.01,0.24,0.00,0.47,0.12,0.02,0.20,0.00,0.68,0.07,0.05,0.27,-0.35,0.62,0.00,-0.00,0.21,0.04,0.04,0.00,0.04,0.04,0.03,0.01,0.01,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
0.00,0.00,0.05,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.01,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
1.00,0.00,0.00,0.01,0.17,0.00,0.44,0.03,0.02,0.14,0.00,0.36,0.02,0.00,0.16,0.00,0.18,0.05,0.01,0.09,0.00,0.46,0.03,0.02,0.14,-0.10,0.22,0.01,-0.00,0.09,0.05,0.06,0.00,0.06,0.06,0.08,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.37,0.00,0.15,0.01,0.01,0.04,0.00,0.04,0.00,0.00,0.02,0.00,0.20,0.02,0.00,0.04,0.00,0.14,0.01,0.01,0.04,-0.15,0.04,-0.00,-0.00,0.03,0.00,0.00,0.00,0.00,-0.00,0.71,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.01,0.00,0.07,0.08,0.00,0.49,0.10,0.07,0.26,0.00,0.54,0.04,0.01,0.33,0.00,0.44,0.13,0.01,0.20,0.00,0.52,0.10,0.07,0.26,-0.33,0.54,0.01,-0.00,0.27,0.08,0.00,0.05,0.08,-0.04,0.71,0.01,0.01,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
0.00,0.00,0.00,0.00,0.13,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.61,0.01,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.65,0.02,0.08,0.00,0.09,0.02,0.00,0.07,0.00,0.05,0.00,0.00,0.04,0.00,0.06,0.02,0.00,0.04,0.00,0.09,0.01,0.00,0.07,-0.05,0.05,-0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
